bili,stage,riskscore,trt
0.09831603486111101,0.03066521069331273,-0.5123549441904428,-0.12972702179653617
0.4766217549983113,0.021542075630515637,0.14541465501246115,0.01132705509043653
0.20142256653784596,0.09153663822885799,0.5297699892547575,0.06347896151901293
0.4506307248973224,0.045705022311002236,0.7228057848912429,0.09423570629944696
0.47246435758796695,-0.00733219931623755,0.4220088542874413,-0.20965916497030507
0.16392541014167986,-0.1127140502668022,0.7074144523757394,0.19386876947426676
0.1612153829998852,0.027341205867295857,0.2569832244790189,-0.10766109387663389
0.47760903417398615,0.014837267137520932,-0.023085729741154158,0.0013157340524174179
0.44495279621653816,-0.026558399751418542,-0.1919441704240441,0.007363383282661316
0.15577702928370382,-0.02551419538876373,0.28305953209994766,-0.2260141979125493
0.5304837060318784,-0.05165893237153003,0.8854877594410151,0.08145104141214406
0.24803927415404053,-0.06148769849259259,0.7050875830671386,-0.23168572001324172
0.11742217490537404,0.01838351076110496,0.10345694456505139,-0.029045021794067163
0.1728063640132956,-0.07547672908763327,0.6793190149994568,0.11659702600304675
0.1421983600270421,0.012865233953151365,0.09395297130985364,-0.03212130898198072
0.27959549186414795,0.02501920474591747,0.5447545927777359,-0.08023787645924037
0.17044480626390054,-0.10884213822195112,0.7526078732291481,0.19078428403297565
